name,definicion,ambos,total,Taxa,Phylum,TL,catTL,type,source,totales,en_name,en_name_gen
OTROS MARISC.COCI.,Incluye los mariscos/moluscos no desglosados anteriormente cocidos,0,0,NA,NA,2.956264880952381,Low,Preserved,Mixed,0,Other cooked molluscs and crustaceans,Other molluscs and crustaceans
OTROS MARISC.CONG.,Incluye los mariscos/moluscos no desglosados anteriormente congelados,1,0,NA,NA,2.956264880952381,Low,Frozen,Mixed,0,Other frozen molluscs and crustaceans,Other molluscs and crustaceans
OTROS MARISC.FRES.,Incluye los mariscos/moluscos no desglosados anteriormente frescos,1,0,NA,NA,2.956264880952381,Low,Fresh,Mixed,0,Other fresh molluscs and crustaceans,Other molluscs and crustaceans
OTROS MARISC/MOLUSC,"Incluye los mariscos/moluscos no desglosados anteriormente, tanto frescos, congelados como cocidos. Comprende: nécoras, centollos, cigalas, cangrejos, caracoles, ostras, navajas, etc",2,0,NA,NA,2.956264880952381,Low,Fresh,Mixed,1,Other molluscs and crustaceans,Other molluscs and crustaceans
OTROS PESCADOS,"Incluye otros pescados de mar o río tanto frescos como congelados (tilapia, panga, pez espada, emperador, tiburón, besugo, etc)",2,0,NA,NA,3.649375,Medium,Fresh,Mixed,1,Other fish,Other fish
OTROS PESCADOS CON,"Incluye otros pescados de mar o río congelados (tilapia, panga, pez espada, emperador, tiburón, besugo, etc)",1,0,NA,NA,3.649375,Medium,Frozen,Mixed,0,Other frozen fish,Other fish
OTROS PESCADOS FRE,"Incluye otros pescados de mar o río frescos (tilapia, panga, pez espada, emperador, tiburón, besugo, etc)",1,0,NA,NA,3.649375,Medium,Fresh,Mixed,0,Other fresh fish,Other fish
PESCADOS,Incluye pescados frescos y congelados,2,0,NA,NA,NA,NA,Fresh,Wild,1,Fish,Fish
PESCADOS CONGELADOS,Incluye pescados congelados,1,1,NA,NA,NA,NA,Frozen,Wild,1,Frozen fish,Fish
PESCADOS FRESCOS,Incluye pescados frescos,1,1,NA,NA,NA,NA,Fresh,Wild,1,Fresh fish,Fish
PULPO,Pulpo en conserva,0,0,Octopus,Mollusca,3.6225,Medium,Preserved,Wild,0,Octopus,Octopus
PULPO CONGELADO,Pulpo congelado,1,0,Octopus,Mollusca,3.6225,Medium,Frozen,Wild,0,Frozen octopus,Octopus
SALMON,Salmón fresco y congelado. No incluye salmón ahumado y similares,2,0,Salmo salar,Chordata,4.5,High,Fresh,Farmed,1,Salmon,Salmon
SALMON CONGELADO,Salmón congelado,1,0,Salmo salar,Chordata,4.5,High,Frozen,Farmed,0,Frozen salmon,Salmon
SALMON FRESCO,Salmón fresco,1,0,Salmo salar,Chordata,4.5,High,Fresh,Farmed,0,Fresh salmon,Salmon
SARDINA/BOQUERON,"Incluye Sardina, Boquerón y Anchoas frescas y congeladas",2,0,Sardina pilchardus,Chordata,3.06,Low,Fresh,Wild,1,Sardines and anchovies,Sardines and anchovies
SARDINAS,Sardinas en conserva,0,0,Sardina pilchardus,Chordata,3.06,Low,Preserved,Wild,0,Sardines,Sardines
TOTAL CARNE,"Engloba la carne fresca, congelada y transformada",2,1,NA,NA,NA,NA,Fresh,Wild,1,Total meat,Total meat
TOTAL PESCA,"Engloba pescados, mariscos/moluscos y conservas de pescado, tanto a granel como envasados, ya sean frescos, congelados o cocidos",2,1,Oncorhynchus mykiss,Chordata,4.08,High,Fresh,Wild,1,Total fish,Total fish
