date,Origin,catTL,value
2001-01-01,Farmed,Low,0.18336071130314402
2001-01-01,Farmed,High,0.12414355432082018
2001-01-01,Wild,Low,0.7079149247121301
2001-01-01,Wild,Medium,0.7681654317186791
2001-01-01,Wild,High,0.6553445082872542
2001-02-01,Farmed,Low,0.17187750725674503
2001-02-01,Farmed,High,0.10592220653529426
2001-02-01,Wild,Low,0.6389074988294785
2001-02-01,Wild,Medium,0.7732916679971152
2001-02-01,Wild,High,0.6714240571939771
2001-03-01,Farmed,Low,0.19724139610142105
2001-03-01,Farmed,High,0.11071568582529352
2001-03-01,Wild,Low,0.7223852835500499
2001-03-01,Wild,Medium,0.9185748019552837
2001-03-01,Wild,High,0.769261528791949
2001-04-01,Farmed,Low,0.18888986268784627
2001-04-01,Farmed,High,0.10380140568471483
2001-04-01,Wild,Low,0.7013509410894456
2001-04-01,Wild,Medium,0.8818235588871587
2001-04-01,Wild,High,0.7611325744775439
2001-05-01,Farmed,Low,0.15579227653062044
2001-05-01,Farmed,High,0.11076731627116086
2001-05-01,Wild,Low,0.63944257799574
2001-05-01,Wild,Medium,0.7708889994970879
2001-05-01,Wild,High,0.713502376504606
2001-06-01,Farmed,Low,0.16022533084205298
2001-06-01,Farmed,High,0.10366627719720557
2001-06-01,Wild,Low,0.5798015078789265
2001-06-01,Wild,Medium,0.742344526965608
2001-06-01,Wild,High,0.754572543424878
2001-07-01,Farmed,Low,0.17304228023408716
2001-07-01,Farmed,High,0.09620061353903882
2001-07-01,Wild,Low,0.5641787278449725
2001-07-01,Wild,Medium,0.7059648254792268
2001-07-01,Wild,High,0.6887550885828242
2001-08-01,Farmed,Low,0.15682093287794868
2001-08-01,Farmed,High,0.07985228987105435
2001-08-01,Wild,Low,0.5139262467003514
2001-08-01,Wild,Medium,0.6536550316399492
2001-08-01,Wild,High,0.633664414699869
2001-09-01,Farmed,Low,0.20945953113564458
2001-09-01,Farmed,High,0.11304547881560394
2001-09-01,Wild,Low,0.645208389510303
2001-09-01,Wild,Medium,0.7901812467220152
2001-09-01,Wild,High,0.6854107202758766
2001-10-01,Farmed,Low,0.2644879520408076
2001-10-01,Farmed,High,0.13949360702349406
2001-10-01,Wild,Low,0.7906172646021867
2001-10-01,Wild,Medium,0.940583205889835
2001-10-01,Wild,High,0.8026177612497638
2001-11-01,Farmed,Low,0.21455859349520315
2001-11-01,Farmed,High,0.14473422079684203
2001-11-01,Wild,Low,0.7179225849634783
2001-11-01,Wild,Medium,0.8783811174366258
2001-11-01,Wild,High,0.6356098202558751
2001-12-01,Farmed,Low,0.30936814942333773
2001-12-01,Farmed,High,0.14012181862081774
2001-12-01,Wild,Low,1.2781148989091147
2001-12-01,Wild,Medium,1.2219775350781215
2001-12-01,Wild,High,0.6433482112453219
2002-01-01,Farmed,Low,0.20939105217506068
2002-01-01,Farmed,Medium,0
2002-01-01,Farmed,High,0.15706472446468406
2002-01-01,Wild,Low,0.7551471960360194
2002-01-01,Wild,Medium,0.8942969980849191
2002-01-01,Wild,High,0.6356954853776655
2002-02-01,Farmed,Low,0.19120799837027125
2002-02-01,Farmed,Medium,0
2002-02-01,Farmed,High,0.12233926981199403
2002-02-01,Wild,Low,0.6831849348358416
2002-02-01,Wild,Medium,0.810608325316054
2002-02-01,Wild,High,0.6643420236192161
2002-03-01,Farmed,Low,0.1946751877046601
2002-03-01,Farmed,Medium,0
2002-03-01,Farmed,High,0.12958745489091264
2002-03-01,Wild,Low,0.7262440098380054
2002-03-01,Wild,Medium,1.0001659538277319
2002-03-01,Wild,High,0.7863538912338278
2002-04-01,Farmed,Low,0.17001924116536857
2002-04-01,Farmed,Medium,0
2002-04-01,Farmed,High,0.13049652064701336
2002-04-01,Wild,Low,0.6429642429071741
2002-04-01,Wild,Medium,0.8921861603971447
2002-04-01,Wild,High,0.7374095956304075
2002-05-01,Farmed,Low,0.14641831728336888
2002-05-01,Farmed,Medium,0
2002-05-01,Farmed,High,0.16007579230292215
2002-05-01,Wild,Low,0.6346733285760301
2002-05-01,Wild,Medium,0.8628662775062997
2002-05-01,Wild,High,0.7649791487669432
2002-06-01,Farmed,Low,0.13809134256016894
2002-06-01,Farmed,Medium,0
2002-06-01,Farmed,High,0.11048985913586717
2002-06-01,Wild,Low,0.5975788816916016
2002-06-01,Wild,Medium,0.7905795591095194
2002-06-01,Wild,High,0.7497662872210404
2002-07-01,Farmed,Low,0.1431116994657078
2002-07-01,Farmed,Medium,0
2002-07-01,Farmed,High,0.11563441790290369
2002-07-01,Wild,Low,0.5419500380032924
2002-07-01,Wild,Medium,0.806509598754495
2002-07-01,Wild,High,0.7446204519604914
2002-08-01,Farmed,Low,0.1528759985437675
2002-08-01,Farmed,Medium,0
2002-08-01,Farmed,High,0.10327106217929846
2002-08-01,Wild,Low,0.565435796042471
2002-08-01,Wild,Medium,0.7383516741913565
2002-08-01,Wild,High,0.7028987509844402
2002-09-01,Farmed,Low,0.16296666170843851
2002-09-01,Farmed,Medium,0
2002-09-01,Farmed,High,0.13700711480638753
2002-09-01,Wild,Low,0.6161855474197001
2002-09-01,Wild,Medium,0.8342717375919764
2002-09-01,Wild,High,0.6893285894490304
2002-10-01,Farmed,Low,0.17442443660371265
2002-10-01,Farmed,Medium,0
2002-10-01,Farmed,High,0.16751189210230694
2002-10-01,Wild,Low,0.6786186352008247
2002-10-01,Wild,Medium,1.012198694531739
2002-10-01,Wild,High,0.8490331644436536
2002-11-01,Farmed,Low,0.18805172538145137
2002-11-01,Farmed,Medium,0
2002-11-01,Farmed,High,0.1542941768461226
2002-11-01,Wild,Low,0.7198929580331797
2002-11-01,Wild,Medium,0.9615170930654453
2002-11-01,Wild,High,0.6744994687195267
2002-12-01,Farmed,Low,0.3465609959452004
2002-12-01,Farmed,Medium,0
2002-12-01,Farmed,High,0.16690618725334072
2002-12-01,Wild,Low,1.4371706290657547
2002-12-01,Wild,Medium,1.442078810905722
2002-12-01,Wild,High,0.7289807652442422
2003-01-01,Farmed,Low,0.2069330996621137
2003-01-01,Farmed,Medium,0.03340959009000321
2003-01-01,Farmed,High,0.15077658171681502
2003-01-01,Wild,Low,0.7352092857586902
2003-01-01,Wild,Medium,0.7700372593395876
2003-01-01,Wild,High,0.6559199814084344
2003-02-01,Farmed,Low,0.19939392718501794
2003-02-01,Farmed,Medium,0.07234283097104183
